condition,decision_time_mean_ms,decision_time_p95_ms,duration_ms,duty_cycle,healthy_false_trigger_rate_per_min,mean_beta_power,pathological_occupancy,pulse_count,pulses_per_min,pulses_per_min_healthy,regime,seed,suppression_latency_ms,unnecessary_stim_duty_cycle
no_stimulation,0.0,0.0,2496.0,0.0,nan,6.282847605875457,0.5104,0,0.0,nan,pathological,0,nan,nan
no_stimulation,0.0,0.0,2496.0,0.0,nan,8.702410052472112,0.8288,0,0.0,nan,pathological,1,nan,nan
no_stimulation,0.0,0.0,2496.0,0.0,nan,7.2269344978407855,0.5232,0,0.0,nan,pathological,2,nan,nan
no_stimulation,0.0,0.0,2496.0,0.0,nan,8.750165973084734,0.4928,0,0.0,nan,pathological,3,nan,nan
no_stimulation,0.0,0.0,2496.0,0.0,nan,5.508336019930775,0.1456,0,0.0,nan,pathological,4,nan,nan
continuous_dbs,0.0,0.0,2496.0,0.12,nan,5.81485859575447,0.7008,75,1802.8846153846155,nan,pathological,0,292.0,nan
continuous_dbs,0.0,0.0,2496.0,0.12,nan,10.840654861193915,0.976,75,1802.8846153846155,nan,pathological,1,nan,nan
continuous_dbs,0.0,0.0,2496.0,0.12,nan,10.22459435180256,0.7872,75,1802.8846153846155,nan,pathological,2,296.0,nan
continuous_dbs,0.0,0.0,2496.0,0.12,nan,9.503253121079425,0.4544,75,1802.8846153846155,nan,pathological,3,296.0,nan
continuous_dbs,0.0,0.0,2496.0,0.12,nan,5.433063242097907,0.3248,75,1802.8846153846155,nan,pathological,4,300.0,nan
beta_adbs,0.00418549990129014,0.005330950443749316,2496.0,0.0384,nan,10.024712935250104,0.5824,24,576.9230769230769,nan,pathological,0,0.0,nan
beta_adbs,0.00420835710558874,0.00569134963370743,2496.0,0.0384,nan,9.630925140047234,0.9952,24,576.9230769230769,nan,pathological,1,nan,nan
beta_adbs,0.004571523883593424,0.006183049845276399,2496.0,0.0384,nan,7.294034887055699,0.7488,24,576.9230769230769,nan,pathological,2,0.0,nan
beta_adbs,0.0030556193451047875,0.0034875011806434477,2496.0,0.0384,nan,8.130375287853134,0.5712,24,576.9230769230769,nan,pathological,3,0.0,nan
beta_adbs,0.003604166522563901,0.005262850390863602,2496.0,0.0384,nan,6.379157074243615,0.3552,24,576.9230769230769,nan,pathological,4,0.0,nan
hdc_adbs,0.16484919047971267,0.20384345116326585,2496.0,0.0336,nan,7.268054059951769,0.696,21,504.8076923076923,nan,pathological,0,0.0,nan
hdc_adbs,0.15519638076338674,0.19860834909195546,2496.0,0.0384,nan,9.630925140047234,0.9952,24,576.9230769230769,nan,pathological,1,nan,nan
hdc_adbs,0.20492669054441476,0.32258989986075876,2496.0,0.0384,nan,7.294034887055699,0.7488,24,576.9230769230769,nan,pathological,2,0.0,nan
hdc_adbs,0.18207050007255193,0.23777885007802976,2496.0,0.0384,nan,4.914361235858076,0.1552,24,576.9230769230769,nan,pathological,3,0.0,nan
hdc_adbs,0.18778659523377428,0.2203872013524233,2496.0,0.0384,nan,6.379157074243615,0.3552,24,576.9230769230769,nan,pathological,4,0.0,nan
beta_adbs,0.005119095259856078,0.007009800538071429,2496.0,0.0384,120.1923076923077,3.7560945405753605,nan,24,576.9230769230769,576.9230769230769,healthy,100,nan,0.0384
beta_adbs,0.004811404670319808,0.0056166491958720135,2496.0,0.0384,120.1923076923077,4.734470514571984,nan,24,576.9230769230769,576.9230769230769,healthy,101,nan,0.0384
beta_adbs,0.004211237995020513,0.005495850018633064,2496.0,0.0384,120.1923076923077,3.738757392112181,nan,24,576.9230769230769,576.9230769230769,healthy,102,nan,0.0384
beta_adbs,0.003645785606446831,0.005019098625780314,2496.0,0.0384,120.1923076923077,3.6287335881198404,nan,24,576.9230769230769,576.9230769230769,healthy,103,nan,0.0384
beta_adbs,0.003818500122828742,0.005277400396153097,2496.0,0.0384,120.1923076923077,2.785276645729914,nan,24,576.9230769230769,576.9230769230769,healthy,104,nan,0.0384
hdc_adbs,0.1800604759843,0.22611670028709338,2496.0,0.0384,120.1923076923077,3.9025444980596857,nan,24,576.9230769230769,576.9230769230769,healthy,100,nan,0.0384
hdc_adbs,0.17138683337439684,0.21996874993419624,2496.0,0.0304,96.15384615384616,3.247415970692889,nan,19,456.7307692307692,456.7307692307692,healthy,101,nan,0.0304
hdc_adbs,0.15649007136311238,0.193147600384691,2496.0,0.0192,72.11538461538461,4.531075975182089,nan,12,288.46153846153845,288.46153846153845,healthy,102,nan,0.0192
hdc_adbs,0.16870938114672235,0.22492320031233246,2496.0,0.0288,120.1923076923077,3.6287335881198404,nan,18,432.69230769230774,432.69230769230774,healthy,103,nan,0.0288
hdc_adbs,0.15074504755743656,0.22703960003127563,2496.0,0.0336,120.1923076923077,3.7477381902289792,nan,21,504.8076923076923,504.8076923076923,healthy,104,nan,0.0336
